# Time-averaged data for fix total
# TimeStep v_etot v_evdw v_etail v_ecoul v_elong v_volume
285200 14304.4 420.287 -76.2114 1040.29 -991.096 25021.7
285300 14322.9 415.001 -76.2114 1040.94 -991.135 25021.7
285400 14293.1 422.086 -76.2114 1042.9 -991.198 25021.7
285500 14304 410.786 -76.2114 1039.67 -991.854 25021.7
285600 14317.1 419.655 -76.2114 1042 -992.271 25021.7
285700 14285.5 423.641 -76.2114 1042.52 -991.936 25021.7
285800 14337.7 433.599 -76.2114 1039.53 -991.678 25021.7
285900 14288.6 412.198 -76.2114 1042.88 -991.991 25021.7
286000 14292.1 426.242 -76.2114 1039.94 -992.16 25021.7
286100 14271 415.601 -76.2114 1041.57 -992.182 25021.7
286200 14283.1 390.811 -76.2114 1043.28 -992.257 25021.7
286300 14308.5 443.437 -76.2114 1040.97 -992.01 25021.7
286400 14256 419.836 -76.2114 1040.85 -991.878 25021.7
286500 14337 425.171 -76.2114 1041.98 -991.617 25021.7
286600 14297.9 397.086 -76.2114 1043.45 -991.69 25021.7
286700 14299.2 422.862 -76.2114 1040.18 -992.356 25021.7
286800 14306.2 415.941 -76.2114 1038.58 -992.119 25021.7
286900 14330.5 432.974 -76.2114 1038.71 -991.757 25021.7
287000 14290.4 402.111 -76.2114 1040.22 -991.403 25021.7
287100 14349.3 421.407 -76.2114 1038.8 -992.258 25021.7
287200 14278.3 403.766 -76.2114 1040.67 -992.148 25021.7
287300 14333.8 450.502 -76.2114 1039.58 -991.772 25021.7
287400 14283.3 425.818 -76.2114 1037.58 -992.382 25021.7
287500 14308.4 453.438 -76.2114 1040.1 -992.537 25021.7
287600 14306.8 408.009 -76.2114 1040.79 -992.382 25021.7
287700 14295.9 428.55 -76.2114 1040.09 -991.959 25021.7
287800 14257.5 400.032 -76.2114 1040.07 -992.237 25021.7
287900 14304.1 432.455 -76.2114 1039.15 -992.243 25021.7
288000 14286.9 404.687 -76.2114 1040.41 -992.151 25021.7
288100 14295.9 437.648 -76.2114 1039.47 -992.281 25021.7
288200 14298.3 432.726 -76.2114 1041.68 -992.165 25021.7
288300 14324.5 424.232 -76.2114 1039.82 -992.271 25021.7
288400 14340.3 410.893 -76.2114 1038.09 -992.276 25021.7
